"actor.followersCount" "actor.friendsCount" "actor.languages" "actor.link" "actor.preferredUsername" "actor.statusesCount" "body" "generator.displayName" "lat" "lon" "gnip.klout_score" "inReplyTo.link" "link" "object.actor.displayName" "object.actor.followersCount" "object.actor.preferredUsername" "object.actor.statusesCount" "object.twitter_entities.hashtags.text" "postedTime" "day" "hour" "min" "sec" "comboTime" "retweetCount" "twitter_entities.hashtags.text" "twitter_entities.user_mentions.screen_name" "verb"
"1" 207 254 "en" "http://www.twitter.com/kevinwaldrop" "kevinwaldrop" "6022" "Hurricane Sandy is expected to make landfall in Hobart, IN the night before Thanksgiving whilst swilling wine &amp; rolling out a pie crust." "Twitter for iPhone" "41.93555928" "-87.64283545" "57" "" "http://twitter.com/kevinwaldrop/statuses/261255803456090112" "" "" "" "" "" "2012-10-25T00:00:12.000Z" 25 0 0 12 "10-25 00:00" "0" "" "" "post"
"180" 91 244 "en" "http://www.twitter.com/BowtiedHobbit" "BowtiedHobbit" "3121" "@KurtieKitty \"Yes... More than anything, when Im with you, I feel diffternt, I want to be with you, forever, will you Sandy, make me the -" "Twitter for Android" "41.68502033" "-87.70304203" "40" "http://twitter.com/KurtieKitty/statuses/261283397660471297" "http://twitter.com/BowtiedHobbit/statuses/261283980534484992" "" "" "" "" "" "2012-10-25T01:52:10.000Z" 25 1 52 10 "10-25 01:52" "" "" "KurtieKitty" "post"
"400" 147 174 "en" "http://www.twitter.com/Yankeesrock338" "Yankeesrock338" "485" "Northeast be on alert!!! Stay tuned to the weather channel #sandy #weather #uniquestorm" "Twitter for Android" "40.6783497" "-73.3651849" "34" "" "http://twitter.com/Yankeesrock338/statuses/261322886831300608" "" "" "" "" "" "2012-10-25T04:26:46.000Z" 25 4 26 46 "10-25 04:26" "" "sandy,weather" "" "post"
"623" 420 306 "en" "http://www.twitter.com/hal2814" "hal2814" "32914" "Hope all my peeps in the Bahamas are gonna be ok during #hurricanesandy" "Twitter for iPhone" "35.07824881" "-85.13275731" "46" "" "http://twitter.com/hal2814/statuses/261395228500582400" "" "" "" "" "" "2012-10-25T09:14:13.000Z" 25 9 14 13 "10-25 09:14" "0" "hurricanesandy" "" "post"
"815" 762 860 "en" "http://www.twitter.com/GullyboyPetto" "GullyboyPetto" "12998" "Hurricane Sandy huge dred" "Twitter for Android" "25.070857" "-77.3825296" "37" "" "http://twitter.com/GullyboyPetto/statuses/261433316669005824" "" "" "" "" "" "2012-10-25T11:45:34.000Z" 25 11 45 34 "10-25 11:45" "0" "" "" "post"
"1014" 100 115 "es" "http://www.twitter.com/ShamirSuero" "ShamirSuero" "6858" "\"@ElFanaticoDom: La Av. Privada esta congestionada #EfectosDeSandy\"" "Twitter for Android" "18.4530237" "-69.9707122" "43" "" "http://twitter.com/ShamirSuero/statuses/261457275720445954" "" "" "" "" "" "2012-10-25T13:20:46.000Z" 25 13 20 46 "10-25 13:20" "" "EfectosDeSandy" "ElFanaticoDom" "post"
"1192" 32 92 "en" "http://www.twitter.com/cheroo7" "cheroo7" "244" "Hurricane sandy is spinning in Jamaica!" "Twitter for Android" "30.1853454" "-93.19192" "19" "" "http://twitter.com/cheroo7/statuses/261477148190191619" "" "" "" "" "" "2012-10-25T14:39:44.000Z" 25 14 39 44 "10-25 14:39" "" "" "" "post"
"1369" 894 987 "en" "http://www.twitter.com/KristyMyers" "KristyMyers" "2973" "@wickedjava sorry -- I've got lunch &amp; afternoon plans. Next week after Halloween? (if Sandy doesn't wreak havoc)" "Twitter for iPhone" "39.01667294" "-76.47246192" "50" "http://twitter.com/wickedjava/statuses/261487953128333312" "http://twitter.com/KristyMyers/statuses/261499101118611456" "" "" "" "" "" "2012-10-25T16:06:58.000Z" 25 16 6 58 "10-25 16:06" "" "" "wickedjava" "post"
"1529" 25187 11568 "en" "http://www.twitter.com/sacbee_news" "sacbee_news" "60407" "Hybrid of Sandy, winter storm threatens East Coast http://t.co/EXn9nVOl" "dlvr.it" "38.56689474" "-121.4788635" "68" "" "http://twitter.com/sacbee_news/statuses/261518500739313664" "" "" "" "" "" "2012-10-25T17:24:04.000Z" 25 17 24 4 "10-25 17:24" "0" "" "" "post"
"1696" 26 27 "en" "http://www.twitter.com/CityworksKyle" "CityworksKyle" "16" "I'm at the Cityworks User Group meeting at Sandy City Hall. Good turnout here! http://t.co/L4mPsFXm" "Twitter for iPhone" "40.57172868" "-111.8959093" "17" "" "http://twitter.com/CityworksKyle/statuses/261538064202100736" "" "" "" "" "" "2012-10-25T18:41:48.000Z" 25 18 41 48 "10-25 18:41" "" "" "" "post"
